origin,op_unique_carrier,dep_hour,total,delayed,delay_rate
ORD,UA,12,40,3,0.075
ORD,UA,13,69,3,0.0435
ORD,UA,14,84,5,0.0595
ORD,UA,15,34,0,0.0
ORD,UA,16,35,4,0.1143
ORD,UA,17,20,1,0.05
ORD,UA,18,155,20,0.129
ORD,UA,19,76,12,0.1579
ORD,UA,20,79,9,0.1139
ORD,UA,21,60,6,0.1
ORD,WN,6,15,1,0.0667
ORD,WN,7,10,1,0.1
ORD,WN,9,10,0,0.0
ORD,WN,11,10,2,0.2
ORD,WN,12,15,4,0.2667
ORD,WN,13,15,8,0.5333
ORD,WN,14,10,5,0.5
ORD,WN,15,5,4,0.8
ORD,WN,16,15,6,0.4
ORD,WN,17,10,4,0.4
ORD,WN,18,10,4,0.4
ORD,WN,19,10,3,0.3
ORD,WN,21,5,2,0.4
ORD,YX,7,24,1,0.0417
ORD,YX,8,21,0,0.0
ORD,YX,9,18,0,0.0
ORD,YX,10,28,3,0.1071
ORD,YX,11,14,0,0.0
ORD,YX,12,11,0,0.0
ORD,YX,13,22,0,0.0
ORD,YX,14,19,0,0.0
ORD,YX,15,14,0,0.0
ORD,YX,17,14,0,0.0
ORD,YX,18,19,1,0.0526
ORD,YX,19,20,1,0.05
ORD,YX,20,13,0,0.0
ORD,YX,21,15,0,0.0
ORF,9E,12,6,0,0.0
ORF,AA,5,5,0,0.0
ORF,AA,6,12,0,0.0
ORF,AA,9,6,1,0.1667
ORF,AA,11,5,1,0.2
ORF,AA,15,6,0,0.0
ORF,DL,5,6,0,0.0
ORF,DL,6,6,0,0.0
ORF,DL,8,6,0,0.0
ORF,DL,12,6,0,0.0
ORF,DL,16,5,0,0.0
ORF,DL,19,5,0,0.0
ORF,NK,10,6,2,0.3333
ORF,NK,11,6,2,0.3333
ORF,OH,5,5,0,0.0
ORF,OH,6,6,0,0.0
ORF,OH,7,6,0,0.0
ORF,OH,9,5,0,0.0
ORF,OH,15,5,1,0.2
ORF,OH,18,10,0,0.0
ORF,UA,6,9,0,0.0
ORF,UA,8,10,1,0.1
ORF,WN,6,5,0,0.0
ORF,WN,7,5,0,0.0
ORF,WN,10,5,0,0.0
ORF,WN,12,5,0,0.0
ORF,WN,15,8,0,0.0
ORF,WN,18,5,2,0.4
ORF,YX,6,6,0,0.0
ORF,YX,15,5,0,0.0
ORF,YX,17,9,0,0.0
OTZ,AS,19,5,0,0.0
PAE,AS,9,6,1,0.1667
PAE,AS,10,6,1,0.1667
PAE,AS,18,6,1,0.1667
PAE,AS,19,5,1,0.2
PBG,G4,10,7,4,0.5714
PBI,AA,6,18,1,0.0556
PBI,AA,7,6,1,0.1667
PBI,AA,8,6,1,0.1667
PBI,AA,10,5,0,0.0
PBI,AA,11,12,1,0.0833
PBI,AA,12,6,1,0.1667
PBI,AA,13,12,2,0.1667
PBI,AA,14,6,2,0.3333
PBI,AA,15,6,1,0.1667
PBI,AA,16,6,0,0.0
PBI,AA,17,12,3,0.25
PBI,AA,19,14,8,0.5714
PBI,B6,6,14,1,0.0714
PBI,B6,7,9,0,0.0
PBI,B6,8,6,0,0.0
PBI,B6,10,12,1,0.0833
PBI,B6,11,11,1,0.0909
PBI,B6,12,12,4,0.3333
PBI,B6,13,15,5,0.3333
PBI,B6,15,14,0,0.0
PBI,B6,16,9,4,0.4444
PBI,B6,17,10,2,0.2
PBI,B6,18,6,4,0.6667
PBI,B6,19,15,5,0.3333
PBI,B6,20,19,14,0.7368
PBI,DL,6,6,0,0.0
PBI,DL,7,12,1,0.0833
PBI,DL,8,6,0,0.0
PBI,DL,9,5,0,0.0
PBI,DL,11,18,0,0.0
PBI,DL,12,12,2,0.1667
PBI,DL,14,12,1,0.0833
PBI,DL,15,5,1,0.2
PBI,DL,16,12,0,0.0
PBI,DL,18,11,0,0.0
PBI,DL,19,17,6,0.3529
PBI,F9,9,6,2,0.3333
PBI,F9,11,5,0,0.0
PBI,F9,13,6,3,0.5
PBI,F9,17,5,4,0.8
PBI,F9,20,6,3,0.5
PBI,F9,21,5,2,0.4
PBI,NK,10,6,1,0.1667
PBI,NK,18,6,3,0.5
PBI,UA,6,5,0,0.0
PBI,UA,7,10,0,0.0
PBI,UA,8,10,0,0.0
PBI,UA,11,5,0,0.0
PBI,UA,12,5,0,0.0
PBI,UA,13,10,0,0.0
PBI,UA,15,5,1,0.2
PBI,UA,16,15,1,0.0667
PBI,UA,18,5,1,0.2
PBI,UA,19,5,0,0.0
PBI,UA,20,5,0,0.0
PBI,WN,6,9,0,0.0
PBI,WN,12,5,1,0.2
PBI,WN,16,5,0,0.0
PBI,YX,15,5,0,0.0
PDX,AA,5,10,1,0.1
PDX,AA,6,6,0,0.0
PDX,AA,11,6,2,0.3333
PDX,AA,12,6,0,0.0
PDX,AA,13,6,0,0.0
PDX,AA,22,12,3,0.25
PDX,AA,23,6,2,0.3333
PDX,AS,5,6,0,0.0
PDX,AS,6,14,1,0.0714
PDX,AS,7,39,1,0.0256
PDX,AS,8,12,1,0.0833
PDX,AS,9,24,1,0.0417
PDX,AS,10,29,5,0.1724
PDX,AS,11,6,1,0.1667
PDX,AS,12,8,1,0.125
PDX,AS,13,21,4,0.1905
PDX,AS,14,16,1,0.0625
PDX,AS,17,17,2,0.1176
PDX,AS,18,21,3,0.1429
PDX,AS,19,10,2,0.2
PDX,AS,20,6,0,0.0
PDX,AS,21,20,7,0.35
PDX,AS,22,12,2,0.1667
PDX,DL,5,12,0,0.0
PDX,DL,6,18,0,0.0
PDX,DL,7,11,1,0.0909
PDX,DL,10,11,1,0.0909
PDX,DL,12,9,0,0.0
PDX,DL,13,12,1,0.0833
PDX,DL,17,13,2,0.1538
PDX,DL,22,5,2,0.4
PDX,F9,0,6,0,0.0
PDX,HA,7,6,0,0.0
PDX,NK,6,5,0,0.0
PDX,NK,12,6,0,0.0
PDX,NK,17,5,0,0.0
PDX,NK,19,5,2,0.4
PDX,OO,6,5,2,0.4
PDX,OO,8,5,0,0.0
PDX,OO,9,20,5,0.25
PDX,OO,10,10,3,0.3
PDX,OO,14,15,1,0.0667
PDX,OO,15,14,3,0.2143
PDX,OO,16,14,5,0.3571
PDX,OO,18,5,0,0.0
PDX,OO,19,18,4,0.2222
PDX,OO,21,10,3,0.3
PDX,UA,5,5,1,0.2
PDX,UA,7,5,1,0.2
PDX,UA,8,11,0,0.0
PDX,UA,10,5,0,0.0
PDX,UA,11,5,1,0.2
PDX,UA,12,5,0,0.0
PDX,UA,13,10,1,0.1
PDX,UA,15,5,0,0.0
PDX,UA,19,5,0,0.0
PDX,UA,22,5,0,0.0
PDX,UA,23,10,0,0.0
PDX,WN,5,14,0,0.0
PDX,WN,6,15,0,0.0
PDX,WN,8,9,0,0.0
PDX,WN,9,19,3,0.1579
PDX,WN,10,5,0,0.0
PDX,WN,11,6,0,0.0
PDX,WN,13,14,1,0.0714
PDX,WN,14,5,2,0.4
PDX,WN,17,14,3,0.2143
PDX,WN,18,10,5,0.5
PDX,WN,19,5,1,0.2
PDX,WN,20,11,4,0.3636
PDX,WN,21,10,3,0.3
PGD,G4,6,10,0,0.0
PGD,G4,7,17,1,0.0588
PGD,G4,8,13,0,0.0
PGD,G4,9,6,0,0.0
PGD,G4,10,5,1,0.2
PGD,G4,11,6,1,0.1667
PGD,G4,12,13,2,0.1538
PGD,G4,14,11,2,0.1818
PGD,G4,15,19,9,0.4737
PGD,G4,16,13,3,0.2308
PGD,G4,17,12,6,0.5
PGD,G4,20,8,5,0.625
PGD,G4,21,5,0,0.0
PHL,9E,12,5,0,0.0
PHL,9E,17,6,0,0.0
PHL,AA,5,12,1,0.0833
PHL,AA,6,27,3,0.1111
PHL,AA,8,88,7,0.0795
PHL,AA,9,22,3,0.1364
PHL,AA,10,72,4,0.0556
PHL,AA,11,23,3,0.1304
PHL,AA,12,17,3,0.1765
PHL,AA,13,52,9,0.1731
PHL,AA,14,6,0,0.0
PHL,AA,15,55,14,0.2545
PHL,AA,16,20,7,0.35
PHL,AA,17,19,6,0.3158
PHL,AA,18,79,21,0.2658
PHL,AA,19,20,8,0.4
PHL,AA,20,53,17,0.3208
PHL,AA,21,5,2,0.4
PHL,AS,18,5,1,0.2
PHL,B6,6,5,1,0.2
PHL,DL,5,12,0,0.0
PHL,DL,6,6,0,0.0
PHL,DL,7,14,2,0.1429
PHL,DL,8,5,0,0.0
PHL,DL,10,5,0,0.0
PHL,DL,13,5,1,0.2
PHL,DL,14,6,0,0.0
PHL,F9,5,10,0,0.0
PHL,F9,6,17,3,0.1765
PHL,F9,7,9,0,0.0
PHL,F9,8,10,4,0.4
PHL,F9,9,9,2,0.2222
PHL,F9,11,11,3,0.2727
PHL,F9,12,8,2,0.25
PHL,F9,13,12,6,0.5
PHL,F9,14,8,1,0.125
PHL,F9,15,8,3,0.375
PHL,F9,16,23,5,0.2174
PHL,F9,17,7,2,0.2857
PHL,F9,18,21,7,0.3333
PHL,F9,19,10,4,0.4
PHL,F9,20,8,2,0.25
PHL,F9,21,7,2,0.2857
PHL,NK,5,6,0,0.0
PHL,NK,6,6,0,0.0
PHL,NK,7,11,2,0.1818
PHL,NK,12,10,2,0.2
PHL,NK,14,8,3,0.375
PHL,NK,17,12,3,0.25
PHL,NK,19,15,7,0.4667
PHL,NK,21,7,2,0.2857
PHL,NK,22,5,3,0.6
PHL,OH,8,17,0,0.0
PHL,OH,9,5,0,0.0
PHL,OH,10,15,0,0.0
PHL,OH,11,11,0,0.0
PHL,OH,13,5,0,0.0
PHL,OH,14,12,1,0.0833
PHL,OH,15,10,0,0.0
PHL,OH,17,10,1,0.1
PHL,OH,18,27,3,0.1111
PHL,OH,20,11,1,0.0909
PHL,OH,21,10,0,0.0
PHL,UA,6,10,1,0.1
PHL,UA,7,8,0,0.0
PHL,UA,11,5,0,0.0
PHL,UA,15,5,0,0.0
PHL,UA,17,10,0,0.0
PHL,UA,18,5,1,0.2
PHL,WN,5,6,0,0.0
PHL,WN,6,9,2,0.2222
PHL,WN,7,6,0,0.0
PHL,WN,11,6,5,0.8333
PHL,WN,13,6,1,0.1667
PHL,WN,14,5,1,0.2
PHL,WN,19,10,7,0.7
PHL,WN,21,5,0,0.0
PHL,YX,7,5,0,0.0
PHL,YX,8,10,0,0.0
PHL,YX,9,10,0,0.0
PHL,YX,10,15,0,0.0
PHL,YX,11,5,0,0.0
PHL,YX,13,10,0,0.0
PHL,YX,14,5,1,0.2
PHL,YX,15,10,0,0.0
PHL,YX,17,5,1,0.2
PHL,YX,18,5,0,0.0
PHL,YX,19,10,0,0.0
PHL,YX,20,10,0,0.0
PHX,AA,0,6,0,0.0
PHX,AA,5,6,1,0.1667
PHX,AA,6,12,0,0.0
PHX,AA,7,18,0,0.0
PHX,AA,8,45,5,0.1111
PHX,AA,9,109,13,0.1193
PHX,AA,10,35,1,0.0286
PHX,AA,11,128,19,0.1484
PHX,AA,13,71,17,0.2394
PHX,AA,14,41,4,0.0976
PHX,AA,15,46,16,0.3478
PHX,AA,16,108,32,0.2963
PHX,AA,17,54,29,0.537
PHX,AA,18,44,14,0.3182
PHX,AA,19,38,8,0.2105
PHX,AA,20,33,7,0.2121
PHX,AA,21,56,18,0.3214
PHX,AA,22,32,12,0.375
PHX,AA,23,28,3,0.1071
PHX,AS,6,10,1,0.1
PHX,AS,7,12,0,0.0
PHX,AS,8,6,1,0.1667
PHX,AS,10,6,1,0.1667
PHX,AS,11,11,1,0.0909
PHX,AS,14,5,2,0.4
PHX,AS,16,5,2,0.4
PHX,AS,18,6,3,0.5
PHX,AS,19,8,0,0.0
PHX,AS,21,6,1,0.1667
PHX,B6,22,6,1,0.1667
PHX,B6,23,6,3,0.5
PHX,DL,0,5,1,0.2
PHX,DL,6,29,0,0.0
PHX,DL,7,13,1,0.0769
PHX,DL,9,6,0,0.0
PHX,DL,11,12,0,0.0
PHX,DL,12,18,0,0.0
PHX,DL,13,11,1,0.0909
PHX,DL,14,18,4,0.2222
PHX,DL,15,7,0,0.0
PHX,DL,16,17,4,0.2353
PHX,DL,17,6,0,0.0
PHX,DL,18,7,1,0.1429
PHX,DL,23,13,2,0.1538
PHX,F9,0,16,8,0.5
PHX,F9,6,13,1,0.0769
PHX,F9,7,6,0,0.0
PHX,F9,8,5,0,0.0
PHX,F9,9,10,1,0.1
PHX,F9,11,5,1,0.2
PHX,F9,12,6,0,0.0
PHX,F9,13,8,0,0.0
PHX,F9,14,6,1,0.1667
PHX,F9,15,11,0,0.0
PHX,F9,16,14,0,0.0
PHX,F9,18,6,0,0.0
PHX,F9,19,6,0,0.0
PHX,F9,22,8,1,0.125
PHX,F9,23,11,3,0.2727
PHX,HA,8,6,1,0.1667
PHX,MQ,9,12,0,0.0
PHX,MQ,11,18,2,0.1111
PHX,MQ,13,6,0,0.0
PHX,MQ,16,6,1,0.1667
PHX,MQ,17,6,0,0.0
PHX,MQ,20,12,1,0.0833
PHX,MQ,21,12,2,0.1667
PHX,NK,5,6,0,0.0
PHX,NK,10,6,0,0.0
PHX,NK,13,11,3,0.2727
PHX,NK,23,6,4,0.6667
PHX,OO,6,5,0,0.0
PHX,OO,8,24,0,0.0
PHX,OO,9,43,5,0.1163
PHX,OO,11,42,3,0.0714
PHX,OO,12,5,0,0.0
PHX,OO,13,31,2,0.0645
PHX,OO,14,50,6,0.12
PHX,OO,15,15,2,0.1333
PHX,OO,16,25,2,0.08
PHX,OO,17,26,1,0.0385
PHX,OO,18,15,2,0.1333
PHX,OO,19,21,1,0.0476
PHX,OO,20,39,1,0.0256
PHX,OO,21,31,3,0.0968
PHX,OO,22,12,0,0.0
PHX,UA,0,10,0,0.0
PHX,UA,6,5,0,0.0
PHX,UA,7,14,2,0.1429
PHX,UA,8,15,0,0.0
PHX,UA,9,5,0,0.0
PHX,UA,10,5,0,0.0
PHX,UA,11,10,0,0.0
PHX,UA,12,5,0,0.0
PHX,UA,13,10,0,0.0
PHX,UA,14,10,0,0.0
PHX,UA,15,15,0,0.0
PHX,UA,16,5,0,0.0
PHX,UA,17,15,1,0.0667
PHX,UA,19,5,0,0.0
PHX,UA,20,5,0,0.0
PHX,UA,22,5,0,0.0
PHX,UA,23,5,0,0.0
PHX,WN,5,56,1,0.0179
PHX,WN,6,60,1,0.0167
PHX,WN,7,31,3,0.0968
PHX,WN,8,68,5,0.0735
PHX,WN,9,78,3,0.0385
PHX,WN,10,48,3,0.0625
PHX,WN,11,40,4,0.1
PHX,WN,12,45,5,0.1111
PHX,WN,13,42,5,0.119
PHX,WN,14,45,7,0.1556
PHX,WN,15,67,16,0.2388
PHX,WN,16,39,6,0.1538
PHX,WN,17,26,6,0.2308
PHX,WN,18,76,23,0.3026
PHX,WN,19,66,12,0.1818
PHX,WN,20,61,20,0.3279
PHX,WN,21,37,12,0.3243
PHX,WN,22,18,7,0.3889
PIA,MQ,6,6,0,0.0
PIA,MQ,15,6,1,0.1667
PIA,OH,5,6,0,0.0
PIA,OH,16,5,1,0.2
PIE,G4,6,19,0,0.0
PIE,G4,7,9,0,0.0
PIE,G4,8,10,0,0.0
PIE,G4,9,6,2,0.3333
PIE,G4,10,8,1,0.125
PIE,G4,11,12,2,0.1667
PIE,G4,12,12,3,0.25
PIE,G4,13,14,4,0.2857
PIE,G4,14,6,1,0.1667
PIE,G4,15,7,3,0.4286
PIE,G4,16,17,4,0.2353
PIE,G4,17,11,1,0.0909
PIE,G4,18,14,3,0.2143
PIE,G4,19,16,5,0.3125
PIH,OO,6,5,1,0.2
PIH,OO,13,5,0,0.0
PIT,9E,11,5,0,0.0
PIT,AA,5,5,1,0.2
PIT,AA,6,20,3,0.15
PIT,AA,7,6,2,0.3333
PIT,AA,8,9,1,0.1111
PIT,AA,10,6,0,0.0
PIT,AA,11,6,0,0.0
PIT,AA,14,6,3,0.5
PIT,AA,15,6,0,0.0
PIT,AA,16,5,2,0.4
PIT,AA,19,8,0,0.0
PIT,AS,18,5,2,0.4
PIT,B6,6,5,0,0.0
PIT,B6,11,6,0,0.0
PIT,DL,6,12,1,0.0833
PIT,DL,7,6,0,0.0
PIT,DL,10,5,0,0.0
PIT,DL,12,6,0,0.0
PIT,DL,17,6,0,0.0
PIT,MQ,11,6,1,0.1667
PIT,MQ,12,5,1,0.2
PIT,NK,6,13,3,0.2308
PIT,NK,9,7,2,0.2857
PIT,NK,17,5,2,0.4
PIT,NK,19,7,2,0.2857
PIT,NK,21,9,2,0.2222
PIT,OO,14,5,0,0.0
PIT,OO,15,5,0,0.0
PIT,OO,18,7,1,0.1429
PIT,UA,6,5,0,0.0
PIT,UA,7,10,0,0.0
PIT,UA,8,5,0,0.0
PIT,UA,16,10,2,0.2
PIT,WN,5,11,0,0.0
PIT,WN,6,15,0,0.0
PIT,WN,7,10,0,0.0
PIT,WN,10,10,1,0.1
PIT,WN,11,6,0,0.0
PIT,WN,12,11,1,0.0909
PIT,WN,13,9,0,0.0
PIT,WN,14,14,4,0.2857
PIT,WN,15,12,1,0.0833
PIT,WN,16,6,2,0.3333
PIT,WN,17,12,4,0.3333
PIT,WN,18,15,6,0.4
PIT,WN,19,5,1,0.2
PIT,YX,5,5,0,0.0
PIT,YX,6,17,0,0.0
PIT,YX,7,10,0,0.0
PIT,YX,8,10,0,0.0
PIT,YX,10,6,0,0.0
PIT,YX,13,10,0,0.0
PIT,YX,15,12,0,0.0
PIT,YX,16,5,0,0.0
PIT,YX,17,5,0,0.0
PIT,YX,18,5,0,0.0
PNS,9E,13,6,0,0.0
PNS,AA,6,6,0,0.0
PNS,AA,11,6,1,0.1667
PNS,AA,12,6,2,0.3333
PNS,AA,16,6,0,0.0
PNS,DL,6,6,0,0.0
PNS,DL,7,5,1,0.2
PNS,DL,10,5,0,0.0
PNS,DL,12,6,0,0.0
PNS,DL,16,6,0,0.0
PNS,MQ,5,6,0,0.0
PNS,MQ,11,5,2,0.4
PNS,MQ,15,6,2,0.3333
PNS,OH,5,5,1,0.2
PNS,OH,6,5,0,0.0
PNS,OH,7,5,0,0.0
PNS,OH,15,5,2,0.4
PNS,OH,16,5,0,0.0
PNS,UA,6,5,1,0.2
PNS,UA,14,5,0,0.0
PNS,WN,17,5,1,0.2
PRC,OO,9,5,0,0.0
PRC,OO,18,5,1,0.2
PSC,AS,7,5,0,0.0
PSC,AS,13,6,1,0.1667
PSC,DL,6,6,0,0.0
PSC,OO,5,14,2,0.1429
PSC,OO,7,6,1,0.1667
PSC,OO,12,5,0,0.0
PSC,OO,13,11,2,0.1818
PSC,OO,17,8,2,0.25
PSE,B6,3,6,1,0.1667
PSE,B6,6,5,1,0.2
PSG,AS,12,5,1,0.2
PSG,AS,15,5,0,0.0
PSP,AA,6,6,0,0.0
PSP,AA,10,6,1,0.1667
PSP,AA,13,12,2,0.1667
PSP,AA,15,6,1,0.1667
PSP,AA,19,6,4,0.6667
PSP,AS,13,5,0,0.0
PSP,AS,14,7,0,0.0
PSP,AS,17,12,2,0.1667
PSP,AS,19,5,0,0.0
PSP,DL,7,6,1,0.1667
PSP,DL,12,6,0,0.0
PSP,DL,13,6,0,0.0
PSP,DL,15,6,0,0.0
PSP,MQ,14,6,3,0.5
PSP,OO,6,10,0,0.0
PSP,OO,7,15,0,0.0
PSP,OO,8,5,1,0.2
PSP,OO,9,5,0,0.0
PSP,OO,10,8,2,0.25
PSP,OO,12,15,0,0.0
PSP,OO,17,9,3,0.3333
PSP,UA,5,5,0,0.0
PSP,UA,11,5,0,0.0
PSP,UA,12,5,2,0.4
PSP,UA,13,10,2,0.2
PSP,UA,15,5,2,0.4
PSP,WN,7,6,0,0.0
PSP,WN,11,5,1,0.2
PSP,WN,12,5,0,0.0
PSP,WN,13,5,0,0.0
PSP,WN,16,5,0,0.0
PSP,WN,17,5,0,0.0
PSP,WN,18,5,0,0.0
PVD,9E,5,6,0,0.0
PVD,9E,7,6,1,0.1667
PVD,9E,17,6,0,0.0
PVD,AA,5,5,0,0.0
PVD,AA,10,5,2,0.4
PVD,AA,14,6,1,0.1667
PVD,AA,17,6,3,0.5
PVD,B6,6,5,2,0.4
PVD,DL,6,6,1,0.1667
PVD,DL,18,5,3,0.6
PVD,MQ,7,6,0,0.0
PVD,OH,5,5,1,0.2
PVD,OH,6,5,0,0.0
PVD,OH,12,5,0,0.0
PVD,WN,6,10,0,0.0
PVD,WN,7,5,0,0.0
PVD,WN,8,5,0,0.0
PVD,WN,10,5,0,0.0
PVD,WN,13,8,0,0.0
PVD,WN,16,9,1,0.1111
PVD,WN,18,5,3,0.6
PVD,WN,20,5,1,0.2
PVD,YX,5,5,0,0.0
PVD,YX,15,5,1,0.2
PVU,G4,7,5,0,0.0
PVU,G4,9,5,0,0.0
PVU,G4,10,5,1,0.2
PVU,G4,12,7,2,0.2857
PWM,9E,7,6,1,0.1667
PWM,9E,12,6,1,0.1667
PWM,9E,15,5,0,0.0
PWM,AA,5,7,1,0.1429
PWM,DL,5,6,0,0.0
PWM,OH,12,11,2,0.1818
PWM,UA,6,5,0,0.0
PWM,YX,5,5,0,0.0
PWM,YX,14,5,0,0.0
PWM,YX,15,5,0,0.0
RAP,MQ,5,6,1,0.1667
RAP,MQ,12,6,1,0.1667
RAP,OO,6,5,1,0.2
RAP,OO,7,5,2,0.4
RAP,OO,13,6,0,0.0
RAP,OO,15,5,0,0.0
RAP,OO,17,5,1,0.2
RAP,UA,8,5,1,0.2
RDD,OO,6,5,1,0.2
RDD,OO,10,5,0,0.0
RDD,OO,18,5,0,0.0
RDM,AS,13,6,1,0.1667
RDM,OO,5,15,6,0.4
RDM,OO,12,5,1,0.2
RDM,OO,14,5,1,0.2
RDM,UA,5,5,3,0.6
RDM,UA,13,10,4,0.4
RDU,9E,7,11,1,0.0909
RDU,9E,8,17,4,0.2353
RDU,9E,11,6,0,0.0
RDU,9E,12,5,0,0.0
RDU,9E,14,6,0,0.0
RDU,9E,16,12,4,0.3333
RDU,AA,5,17,0,0.0
RDU,AA,6,23,0,0.0
RDU,AA,7,24,0,0.0
RDU,AA,8,12,2,0.1667
RDU,AA,9,11,5,0.4545
RDU,AA,11,17,3,0.1765
RDU,AA,12,12,4,0.3333
RDU,AA,14,6,2,0.3333
RDU,AA,15,9,1,0.1111
RDU,AA,16,6,2,0.3333
RDU,AA,17,10,4,0.4
RDU,AA,18,11,3,0.2727
RDU,AA,19,10,3,0.3
RDU,AS,18,6,4,0.6667
RDU,B6,7,5,0,0.0
RDU,B6,14,6,5,0.8333
RDU,B6,15,7,1,0.1429
RDU,DL,5,13,1,0.0769
RDU,DL,6,23,3,0.1304
RDU,DL,7,29,3,0.1034
RDU,DL,8,5,0,0.0
RDU,DL,11,10,0,0.0
RDU,DL,12,21,5,0.2381
RDU,DL,13,6,1,0.1667
RDU,DL,15,9,1,0.1111
RDU,DL,16,5,0,0.0
RDU,DL,17,12,1,0.0833
RDU,DL,18,12,0,0.0
RDU,F9,8,6,0,0.0
RDU,F9,11,6,1,0.1667
RDU,F9,12,5,0,0.0
RDU,F9,20,6,0,0.0
RDU,MQ,6,6,1,0.1667
RDU,MQ,12,12,3,0.25
RDU,MQ,13,6,1,0.1667
RDU,NK,18,6,3,0.5
RDU,OH,10,5,0,0.0
RDU,UA,6,22,2,0.0909
RDU,UA,7,5,0,0.0
RDU,UA,10,10,0,0.0
RDU,UA,11,5,0,0.0
RDU,UA,14,5,0,0.0
RDU,UA,15,5,0,0.0
RDU,UA,16,10,2,0.2
RDU,UA,17,5,0,0.0
RDU,UA,18,5,1,0.2
RDU,WN,5,6,0,0.0
RDU,WN,6,14,0,0.0
RDU,WN,7,5,1,0.2
RDU,WN,8,5,0,0.0
RDU,WN,10,10,0,0.0
RDU,WN,11,6,0,0.0
RDU,WN,12,10,2,0.2
RDU,WN,13,13,1,0.0769
RDU,WN,14,6,1,0.1667
RDU,WN,15,6,1,0.1667
RDU,WN,16,9,3,0.3333
RDU,WN,17,10,4,0.4
RDU,WN,18,10,5,0.5
RDU,WN,19,5,2,0.4
RDU,WN,20,6,0,0.0
RDU,YX,5,5,0,0.0
RDU,YX,7,9,0,0.0
RDU,YX,8,6,0,0.0
RDU,YX,9,5,1,0.2
RDU,YX,10,5,0,0.0
RDU,YX,13,7,0,0.0
RDU,YX,15,7,0,0.0
RDU,YX,19,5,0,0.0
RIC,9E,5,6,0,0.0
RIC,9E,12,7,2,0.2857
RIC,9E,18,5,1,0.2
RIC,AA,5,5,0,0.0
RIC,AA,6,18,2,0.1111
RIC,AA,9,6,0,0.0
RIC,AA,12,5,1,0.2
RIC,AA,15,12,1,0.0833
RIC,AA,18,6,2,0.3333
RIC,B6,6,5,0,0.0
RIC,B6,19,5,2,0.4
RIC,DL,6,6,0,0.0
RIC,DL,8,6,0,0.0
RIC,DL,12,6,1,0.1667
RIC,DL,16,6,0,0.0
RIC,DL,19,5,0,0.0
RIC,MQ,19,6,3,0.5
RIC,NK,7,5,1,0.2
RIC,NK,12,6,5,0.8333
RIC,NK,20,6,4,0.6667
RIC,UA,6,5,1,0.2
RIC,UA,8,10,1,0.1
RIC,WN,17,5,2,0.4
RIW,OO,5,5,0,0.0
RKS,OO,5,5,0,0.0
RNO,AA,5,6,0,0.0
RNO,AA,6,6,1,0.1667
RNO,AA,11,6,2,0.3333
RNO,AA,12,5,1,0.2
RNO,AA,14,6,1,0.1667
RNO,AA,16,5,2,0.4
RNO,AS,17,6,2,0.3333
RNO,DL,6,6,0,0.0
RNO,DL,13,6,1,0.1667
RNO,MQ,13,5,0,0.0
RNO,OO,6,5,0,0.0
RNO,OO,7,5,0,0.0
RNO,OO,11,17,1,0.0588
RNO,OO,17,13,1,0.0769
RNO,UA,5,5,1,0.2
RNO,UA,10,10,0,0.0
RNO,UA,13,5,0,0.0
RNO,UA,16,10,0,0.0
RNO,UA,23,10,0,0.0
RNO,WN,5,11,0,0.0
RNO,WN,6,14,1,0.0714
RNO,WN,7,10,2,0.2
RNO,WN,9,6,4,0.6667
RNO,WN,10,10,1,0.1
RNO,WN,11,6,1,0.1667
RNO,WN,12,9,0,0.0
RNO,WN,14,9,1,0.1111
RNO,WN,15,9,0,0.0
RNO,WN,16,6,1,0.1667
RNO,WN,17,6,1,0.1667
RNO,WN,18,10,2,0.2
RNO,WN,19,5,1,0.2
RNO,WN,20,5,0,0.0
RNO,WN,21,5,0,0.0
ROA,9E,11,5,0,0.0
ROA,9E,18,5,0,0.0
ROA,DL,6,6,0,0.0
ROA,OO,10,5,0,0.0
ROC,9E,6,11,2,0.1818
ROC,9E,7,6,0,0.0
ROC,9E,12,6,1,0.1667
ROC,9E,17,10,2,0.2
ROC,AA,6,6,1,0.1667
ROC,AA,17,5,0,0.0
ROC,DL,6,6,0,0.0
ROC,DL,14,5,0,0.0
ROC,OH,11,5,1,0.2
ROC,OH,12,5,1,0.2
ROC,OO,17,5,0,0.0
ROC,UA,6,10,0,0.0
ROC,WN,11,5,1,0.2
ROC,WN,15,5,0,0.0
ROC,WN,17,5,0,0.0
ROC,WN,19,5,1,0.2
ROC,YX,5,5,0,0.0
ROC,YX,13,5,0,0.0
ROW,OO,6,5,0,0.0
ROW,OO,11,5,2,0.4
RST,9E,5,6,0,0.0
RST,9E,15,6,0,0.0
RSW,9E,13,6,2,0.3333
RSW,AA,6,11,0,0.0
RSW,AA,7,12,0,0.0
RSW,AA,10,6,1,0.1667
RSW,AA,11,7,0,0.0
RSW,AA,12,12,2,0.1667
RSW,AA,13,18,4,0.2222
RSW,AA,14,6,1,0.1667
RSW,AA,15,6,2,0.3333
RSW,AA,16,17,7,0.4118
RSW,AA,19,8,3,0.375
RSW,AS,18,6,3,0.5
RSW,B6,6,9,0,0.0
RSW,B6,10,11,1,0.0909
RSW,B6,11,5,1,0.2
RSW,B6,14,6,2,0.3333
RSW,B6,15,5,1,0.2
RSW,B6,16,6,3,0.5
